Story,Author,WorkTime,Article,OneOrMulti,Question,A,B,C,D,Answer
mc160.train.57,3936561074,1534,"Tim Goes To The BeachToday was exciting. Tim's mom was taking him and his little sisters, Rebecca and Georgia,to the beach! They were going to go swimming. Then they were also going to have a picniclunch on the beach. After their picnic lunch, Tim's mom was going to light a campfire andthey were going to eat toasted marshmallows.Tim and his mom and his two little sisters hopped into the van. His little sisters wereboth very blonde and pretty little girls. They were only 4 years old. Because they livedin the city, they had a short drive to get to the beach. To pass the time, Tim played EyeSpy with his mother as they drove for a bit. Once they had gotten bored with Eye Spy, theyplayed 20 Questions. Tim would think of something, and his mother would ask him questionsto try and guess what it was.When they got to the beach, it was warm, and sunny. The salt water was warm, and the waveslapped up on the shore. It made a lovely noise. It also felt great on Tim's toes, and hislittle sisters giggled when the waves hit them.When they had had their fill of swimming, Tim's mom had them sit down to a nicedinner. They ate and ate. They ate macaroni salad. Then they ate some cold chicken. Theyalso had lemon pie for dessert.Tim's mom started a fire, and they spent the rest of the evening as the sun set eatingtoasted marshmallows and singing campfire songs. Tim thought it was a very good day.",one,Why was Tim's day exciting?,Tim and his mother and two little sisters were going to the beach.,Tim and his little sisters were going to have a campfire in the backyard.,Tim and his mother were going to the swimming pool.,"Rebecca and Georgia, Tim's sisters, were taking him to the beach.",Tim and his mother and two little sisters were going to the beach.
mc160.train.57,3936561074,1534,"Tim Goes To The BeachToday was exciting. Tim's mom was taking him and his little sisters, Rebecca and Georgia,to the beach! They were going to go swimming. Then they were also going to have a picniclunch on the beach. After their picnic lunch, Tim's mom was going to light a campfire andthey were going to eat toasted marshmallows.Tim and his mom and his two little sisters hopped into the van. His little sisters wereboth very blonde and pretty little girls. They were only 4 years old. Because they livedin the city, they had a short drive to get to the beach. To pass the time, Tim played EyeSpy with his mother as they drove for a bit. Once they had gotten bored with Eye Spy, theyplayed 20 Questions. Tim would think of something, and his mother would ask him questionsto try and guess what it was.When they got to the beach, it was warm, and sunny. The salt water was warm, and the waveslapped up on the shore. It made a lovely noise. It also felt great on Tim's toes, and hislittle sisters giggled when the waves hit them.When they had had their fill of swimming, Tim's mom had them sit down to a nicedinner. They ate and ate. They ate macaroni salad. Then they ate some cold chicken. Theyalso had lemon pie for dessert.Tim's mom started a fire, and they spent the rest of the evening as the sun set eatingtoasted marshmallows and singing campfire songs. Tim thought it was a very good day.",multiple,Did Tim do anything to pass the time in the van during the trip?,Tim asked his sisters questions in the van.,"Tim played Eye Spy, and 20 Questions with his mother in the van.",Tim did not do anything to pass the time.,Tim played Eye Spy with his sisters in the van.,"Tim played Eye Spy, and 20 Questions with his mother in the van."
mc160.train.57,3936561074,1534,"Tim Goes To The BeachToday was exciting. Tim's mom was taking him and his little sisters, Rebecca and Georgia,to the beach! They were going to go swimming. Then they were also going to have a picniclunch on the beach. After their picnic lunch, Tim's mom was going to light a campfire andthey were going to eat toasted marshmallows.Tim and his mom and his two little sisters hopped into the van. His little sisters wereboth very blonde and pretty little girls. They were only 4 years old. Because they livedin the city, they had a short drive to get to the beach. To pass the time, Tim played EyeSpy with his mother as they drove for a bit. Once they had gotten bored with Eye Spy, theyplayed 20 Questions. Tim would think of something, and his mother would ask him questionsto try and guess what it was.When they got to the beach, it was warm, and sunny. The salt water was warm, and the waveslapped up on the shore. It made a lovely noise. It also felt great on Tim's toes, and hislittle sisters giggled when the waves hit them.When they had had their fill of swimming, Tim's mom had them sit down to a nicedinner. They ate and ate. They ate macaroni salad. Then they ate some cold chicken. Theyalso had lemon pie for dessert.Tim's mom started a fire, and they spent the rest of the evening as the sun set eatingtoasted marshmallows and singing campfire songs. Tim thought it was a very good day.",multiple,What did Tim's family have for a picnic on the beach?,"Tim's family had lemon chicken, macaroni, and a pie for dessert.","Tim's family had cold chicken, macaroni salad, and lemon pie for dessert.","Tim's family had macaroni and cheese, chicken, and a lemon pie for dessert.","Tim's family had chicken salad, and lemon pie for dessert.","Tim's family had cold chicken, macaroni salad, and lemon pie for dessert."
mc160.train.57,3936561074,1534,"Tim Goes To The BeachToday was exciting. Tim's mom was taking him and his little sisters, Rebecca and Georgia,to the beach! They were going to go swimming. Then they were also going to have a picniclunch on the beach. After their picnic lunch, Tim's mom was going to light a campfire andthey were going to eat toasted marshmallows.Tim and his mom and his two little sisters hopped into the van. His little sisters wereboth very blonde and pretty little girls. They were only 4 years old. Because they livedin the city, they had a short drive to get to the beach. To pass the time, Tim played EyeSpy with his mother as they drove for a bit. Once they had gotten bored with Eye Spy, theyplayed 20 Questions. Tim would think of something, and his mother would ask him questionsto try and guess what it was.When they got to the beach, it was warm, and sunny. The salt water was warm, and the waveslapped up on the shore. It made a lovely noise. It also felt great on Tim's toes, and hislittle sisters giggled when the waves hit them.When they had had their fill of swimming, Tim's mom had them sit down to a nicedinner. They ate and ate. They ate macaroni salad. Then they ate some cold chicken. Theyalso had lemon pie for dessert.Tim's mom started a fire, and they spent the rest of the evening as the sun set eatingtoasted marshmallows and singing campfire songs. Tim thought it was a very good day.",multiple,What was the water like when the family reached the beach?,"The water was warm, and made a lovely sound when it lapped up on the shore, and it also felt great on Tim's toes.",The water was hot when they went swimming.,The water was full of seaweed.,The water was cold.,"The water was warm, and made a lovely sound when it lapped up on the shore, and it also felt great on Tim's toes."
mc160.train.58,858903718,3085,Molly likes animals.She has a cat.She has a dog.She has a bird.She has a hamster.She has a bunny.Her cat's name is Kitty.Her dog's name is Spike.Her bird's name is Polly.Her hamster's name is Barry.Her bunny's name is Snowball.Kitty plays with yarn.Spike plays with a ball.Polly plays in her cage.Barry runs on his wheel.Snowball eats carrots.,multiple,What does Molly's cat play with?,yarn,cage,wheel,ball,yarn
mc160.train.58,858903718,3085,Molly likes animals.She has a cat.She has a dog.She has a bird.She has a hamster.She has a bunny.Her cat's name is Kitty.Her dog's name is Spike.Her bird's name is Polly.Her hamster's name is Barry.Her bunny's name is Snowball.Kitty plays with yarn.Spike plays with a ball.Polly plays in her cage.Barry runs on his wheel.Snowball eats carrots.,one,What does Molly like?,animals,baseball,skating,singing,animals
mc160.train.58,858903718,3085,Molly likes animals.She has a cat.She has a dog.She has a bird.She has a hamster.She has a bunny.Her cat's name is Kitty.Her dog's name is Spike.Her bird's name is Polly.Her hamster's name is Barry.Her bunny's name is Snowball.Kitty plays with yarn.Spike plays with a ball.Polly plays in her cage.Barry runs on his wheel.Snowball eats carrots.,one,What is Molly's dog's name?,Spot,Spike,Tom,Tiger,Spike
mc160.train.58,858903718,3085,Molly likes animals.She has a cat.She has a dog.She has a bird.She has a hamster.She has a bunny.Her cat's name is Kitty.Her dog's name is Spike.Her bird's name is Polly.Her hamster's name is Barry.Her bunny's name is Snowball.Kitty plays with yarn.Spike plays with a ball.Polly plays in her cage.Barry runs on his wheel.Snowball eats carrots.,multiple,What does Molly's dog play with?,ball,fish,mouse,paper,ball
mc160.train.59,1285379257,4197,"Joey got a German Shepherd for his birthday present. He had never had any pets before, butwas always excited to see the other dogs and cats in his neighborhood. Since his birthdaywas in June, he spent a lot of time playing outside with his new puppy, which he namedMax. Max and Joey would often run through fields in a game of chase. They also liked to gothrough the small forest behind the house, making a game of hide and seek. They never wentnear the lake because Joey was afraid of water. One day, Max hid a little too well andJoey couldn't find him. Joey spent the afternoon looking for his German Shepherd wherethey often played, like the field and forest. Joey was a shy boy who often read byhimself, and Max was his best friend.  After dinner, he went to look for Max one last timebefore he had to take a bath and go to bed. He heard some barking on the next street, sohe ran to see if it was his puppy. Sure enough, he saw Max playing with a poodle. The dogswere having so much fun. Joey brought Max home, happy that he had his puppy back. Maxseemed to be happy to have his human by his side as well as a new doggy friend. All summerlong, Joey took Max to the poodle's house so they could play without having to worry aboutlosing his present.",multiple,Where did Joey look for his dog?,At his friend's house,"The field, forest and neighborhood",In the garage,By the lake,"The field, forest and neighborhood"
mc160.train.59,1285379257,4197,"Joey got a German Shepherd for his birthday present. He had never had any pets before, butwas always excited to see the other dogs and cats in his neighborhood. Since his birthdaywas in June, he spent a lot of time playing outside with his new puppy, which he namedMax. Max and Joey would often run through fields in a game of chase. They also liked to gothrough the small forest behind the house, making a game of hide and seek. They never wentnear the lake because Joey was afraid of water. One day, Max hid a little too well andJoey couldn't find him. Joey spent the afternoon looking for his German Shepherd wherethey often played, like the field and forest. Joey was a shy boy who often read byhimself, and Max was his best friend.  After dinner, he went to look for Max one last timebefore he had to take a bath and go to bed. He heard some barking on the next street, sohe ran to see if it was his puppy. Sure enough, he saw Max playing with a poodle. The dogswere having so much fun. Joey brought Max home, happy that he had his puppy back. Maxseemed to be happy to have his human by his side as well as a new doggy friend. All summerlong, Joey took Max to the poodle's house so they could play without having to worry aboutlosing his present.",multiple,Was Max happy after he was found?,"Yes, he had his human friend back and made a dog friend.","Yes, he was lost and glad to be home","Yes, because he could go swimming with Joey again","No, he didn't like Joey so he ran away","Yes, he had his human friend back and made a dog friend."
mc160.train.59,1285379257,4197,"Joey got a German Shepherd for his birthday present. He had never had any pets before, butwas always excited to see the other dogs and cats in his neighborhood. Since his birthdaywas in June, he spent a lot of time playing outside with his new puppy, which he namedMax. Max and Joey would often run through fields in a game of chase. They also liked to gothrough the small forest behind the house, making a game of hide and seek. They never wentnear the lake because Joey was afraid of water. One day, Max hid a little too well andJoey couldn't find him. Joey spent the afternoon looking for his German Shepherd wherethey often played, like the field and forest. Joey was a shy boy who often read byhimself, and Max was his best friend.  After dinner, he went to look for Max one last timebefore he had to take a bath and go to bed. He heard some barking on the next street, sohe ran to see if it was his puppy. Sure enough, he saw Max playing with a poodle. The dogswere having so much fun. Joey brought Max home, happy that he had his puppy back. Maxseemed to be happy to have his human by his side as well as a new doggy friend. All summerlong, Joey took Max to the poodle's house so they could play without having to worry aboutlosing his present.",one,When was Joey's birthday?,Summer,Winter,Fall,Spring,Summer
mc160.train.59,1285379257,4197,"Joey got a German Shepherd for his birthday present. He had never had any pets before, butwas always excited to see the other dogs and cats in his neighborhood. Since his birthdaywas in June, he spent a lot of time playing outside with his new puppy, which he namedMax. Max and Joey would often run through fields in a game of chase. They also liked to gothrough the small forest behind the house, making a game of hide and seek. They never wentnear the lake because Joey was afraid of water. One day, Max hid a little too well andJoey couldn't find him. Joey spent the afternoon looking for his German Shepherd wherethey often played, like the field and forest. Joey was a shy boy who often read byhimself, and Max was his best friend.  After dinner, he went to look for Max one last timebefore he had to take a bath and go to bed. He heard some barking on the next street, sohe ran to see if it was his puppy. Sure enough, he saw Max playing with a poodle. The dogswere having so much fun. Joey brought Max home, happy that he had his puppy back. Maxseemed to be happy to have his human by his side as well as a new doggy friend. All summerlong, Joey took Max to the poodle's house so they could play without having to worry aboutlosing his present.",one,What was Joey's birthday present?,A German Shepherd,Books,A Cat,A  Poodle,A German Shepherd
mc160.train.60,2973783889,2595,"Luke takes his dog for a walk. Luke has many pets. He has a turtle named Bob. He has a catnamed Freckles. He has a bird named squeaky. The dog is named Sparky. Sparky loves to goon walks with Luke. Sparky jumps around in front of the doorway.  Luke puts on his hat,coat, and gloves because it is chilly outside. Luke puts a leash around Sparky'sneck. Luke opens the door and they are ready to go. Luke walks up Vine Street to the stopsign. The stop sign is red. Luke looks both ways and then walks across Willow street withSparky. Luke and Sparky walk up the hill.  At the top of the hill, Luke and Sparky turnleft. They walk downhill on First Street. At the bottom of the hill, they see a smallpond. The pond is on Elm Street. Sparky is very happy. Swimming in the pond areducks. There are white ducks and brown ducks. There are baby ducks, too. Sparky walks allaround the pond. Luke watches the ducks as they swim around the pond. When it is time togo, Luke leads Sparky back to the sidewalk. It is warmer and Luke takes off his hat andcoat. They walk home.",one,What is Luke's dog named?,Squeaky,Bob,Sparky,Freckles,Sparky
mc160.train.60,2973783889,2595,"Luke takes his dog for a walk. Luke has many pets. He has a turtle named Bob. He has a catnamed Freckles. He has a bird named squeaky. The dog is named Sparky. Sparky loves to goon walks with Luke. Sparky jumps around in front of the doorway.  Luke puts on his hat,coat, and gloves because it is chilly outside. Luke puts a leash around Sparky'sneck. Luke opens the door and they are ready to go. Luke walks up Vine Street to the stopsign. The stop sign is red. Luke looks both ways and then walks across Willow street withSparky. Luke and Sparky walk up the hill.  At the top of the hill, Luke and Sparky turnleft. They walk downhill on First Street. At the bottom of the hill, they see a smallpond. The pond is on Elm Street. Sparky is very happy. Swimming in the pond areducks. There are white ducks and brown ducks. There are baby ducks, too. Sparky walks allaround the pond. Luke watches the ducks as they swim around the pond. When it is time togo, Luke leads Sparky back to the sidewalk. It is warmer and Luke takes off his hat andcoat. They walk home.",one,The pond is on which street?,First,Willow,Elm,Vine,Elm
mc160.train.60,2973783889,2595,"Luke takes his dog for a walk. Luke has many pets. He has a turtle named Bob. He has a catnamed Freckles. He has a bird named squeaky. The dog is named Sparky. Sparky loves to goon walks with Luke. Sparky jumps around in front of the doorway.  Luke puts on his hat,coat, and gloves because it is chilly outside. Luke puts a leash around Sparky'sneck. Luke opens the door and they are ready to go. Luke walks up Vine Street to the stopsign. The stop sign is red. Luke looks both ways and then walks across Willow street withSparky. Luke and Sparky walk up the hill.  At the top of the hill, Luke and Sparky turnleft. They walk downhill on First Street. At the bottom of the hill, they see a smallpond. The pond is on Elm Street. Sparky is very happy. Swimming in the pond areducks. There are white ducks and brown ducks. There are baby ducks, too. Sparky walks allaround the pond. Luke watches the ducks as they swim around the pond. When it is time togo, Luke leads Sparky back to the sidewalk. It is warmer and Luke takes off his hat andcoat. They walk home.",multiple,What actions does Luke take in this story?,"He puts on his hat, coat and gloves, and leaves all of them on through the whole story.","He puts on his hat, coat, and gloves, but takes them off before going to the pond.","He put on his hat, coat and gloves, but later takes off his hat and coat.","He puts on his hat, coat, and gloves, but later takes off only his gloves.","He put on his hat, coat and gloves, but later takes off his hat and coat."
mc160.train.60,2973783889,2595,"Luke takes his dog for a walk. Luke has many pets. He has a turtle named Bob. He has a catnamed Freckles. He has a bird named squeaky. The dog is named Sparky. Sparky loves to goon walks with Luke. Sparky jumps around in front of the doorway.  Luke puts on his hat,coat, and gloves because it is chilly outside. Luke puts a leash around Sparky'sneck. Luke opens the door and they are ready to go. Luke walks up Vine Street to the stopsign. The stop sign is red. Luke looks both ways and then walks across Willow street withSparky. Luke and Sparky walk up the hill.  At the top of the hill, Luke and Sparky turnleft. They walk downhill on First Street. At the bottom of the hill, they see a smallpond. The pond is on Elm Street. Sparky is very happy. Swimming in the pond areducks. There are white ducks and brown ducks. There are baby ducks, too. Sparky walks allaround the pond. Luke watches the ducks as they swim around the pond. When it is time togo, Luke leads Sparky back to the sidewalk. It is warmer and Luke takes off his hat andcoat. They walk home.",multiple,What path do Luke and Sparky take to the pond?,They stay on Vine Street the whole way.,Across First Street and taking a left turn to Elm Street.,"Down Vine Street, across Willow Street, turning on First Street to Elm Street.","Down Elm Street, to Willow Street, Turning on Vine Street, to First Street.","Down Vine Street, across Willow Street, turning on First Street to Elm Street."
mc160.train.61,863905974,635,"Tim had always a red bike. His birthday party was coming up and he hoped that his parentswould finally get him the bike. When his friends came over for the party, Tim was veryworried that he wouldn't get the bike. He looked at all the presents and none of themseemed big enough to have a bike in them. Tim was sad. When it was time to open thepresents he opened them one at a time. The first present was not a bike. The secondpresent was not a bike. The third present was the biggest one. Tim knew if the bike wasgoing to be in any of the presents it was going to be in this box. Tim opened it and therewas no bike inside. Just as Tim tried not to look too upset, his Dad brought in thebiggest present of them all. His Dad had been hiding the present all along. Tim opened itand his new bike was inside the box. Tim put the bike together with his Dad's help.",one,Who did Tim hope was going to get him the bike?,His friends,His teacher,His parents,His brother,His parents
mc160.train.61,863905974,635,"Tim had always a red bike. His birthday party was coming up and he hoped that his parentswould finally get him the bike. When his friends came over for the party, Tim was veryworried that he wouldn't get the bike. He looked at all the presents and none of themseemed big enough to have a bike in them. Tim was sad. When it was time to open thepresents he opened them one at a time. The first present was not a bike. The secondpresent was not a bike. The third present was the biggest one. Tim knew if the bike wasgoing to be in any of the presents it was going to be in this box. Tim opened it and therewas no bike inside. Just as Tim tried not to look too upset, his Dad brought in thebiggest present of them all. His Dad had been hiding the present all along. Tim opened itand his new bike was inside the box. Tim put the bike together with his Dad's help.",multiple,Why was Tim opening presents?,He didn't open any presents,It was his birthday,He was the best kid in class,he won them in a game,It was his birthday
mc160.train.61,863905974,635,"Tim had always a red bike. His birthday party was coming up and he hoped that his parentswould finally get him the bike. When his friends came over for the party, Tim was veryworried that he wouldn't get the bike. He looked at all the presents and none of themseemed big enough to have a bike in them. Tim was sad. When it was time to open thepresents he opened them one at a time. The first present was not a bike. The secondpresent was not a bike. The third present was the biggest one. Tim knew if the bike wasgoing to be in any of the presents it was going to be in this box. Tim opened it and therewas no bike inside. Just as Tim tried not to look too upset, his Dad brought in thebiggest present of them all. His Dad had been hiding the present all along. Tim opened itand his new bike was inside the box. Tim put the bike together with his Dad's help.",one,What color was the bike Tim always wanted?,Yellow,Green,Red,Blue,Red
mc160.train.61,863905974,635,"Tim had always a red bike. His birthday party was coming up and he hoped that his parentswould finally get him the bike. When his friends came over for the party, Tim was veryworried that he wouldn't get the bike. He looked at all the presents and none of themseemed big enough to have a bike in them. Tim was sad. When it was time to open thepresents he opened them one at a time. The first present was not a bike. The secondpresent was not a bike. The third present was the biggest one. Tim knew if the bike wasgoing to be in any of the presents it was going to be in this box. Tim opened it and therewas no bike inside. Just as Tim tried not to look too upset, his Dad brought in thebiggest present of them all. His Dad had been hiding the present all along. Tim opened itand his new bike was inside the box. Tim put the bike together with his Dad's help.",multiple,Who hid the bike from Tim?,His Sister,His Friend,His Mom,His Dad,His Dad
mc160.train.62,1028551157,2304,"On Saturday, Amy and Joe baked a whole chicken for their family's dinner.  They rinsed itin cold water, rubbed it with spices, and put it into a pan.  After they had heated up theoven, they put the chicken and the pan on the center oven rack and set the timer.  Then,as they peeled potatoes and carrots to go with the chicken, Amy, Joe and Cindy talkedabout dinner.Amy said, ""Joe, this is too much food for you, me and little Cindy to eat in one night.We'll have leftovers.  What can we do with the leftover chicken?""Joe said, ""We could make chicken sandwiches or chicken and rice.""Amy said, ""How about chicken soup?""Cindy said, ""I like chicken with Thai noodles with red peppers.  We haven't made those ina long time."" ""That sounds good,"" said Amy.  ""We'll make that for dinner tomorrow.""""Yum!"" said Joe.  ""That's a great idea.  I love Thai noodles.""Later, Joe, Amy and Cindy had finished eating dinner, and Cindy asked Amy for help withher homework.  ""I don't understand how to do these math problems!""Joe said, ""You two go ahead.  I'll do the dishes and put away the leftovers.""Soon, Cindy went into the kitchen to get a glass of water.  Joe was eating the chicken.It was almost gone!""Dad!"" said Cindy, ""You have eaten almost all of the leftover chicken. We can't have Thainoodles with chicken tomorrow.""Joe looked very sad.  He said ""I'm sorry.  I have been a bad dad.  I have to buy morechicken so that we can still have noodles.  Would you like a piece of chicken?""",multiple,What is the family planning to have for dinner tomorrow?,chicken and rice,"chicken, carrots and potatoes",chicken soup,Thai noodles with chicken and red peppers,Thai noodles with chicken and red peppers
mc160.train.62,1028551157,2304,"On Saturday, Amy and Joe baked a whole chicken for their family's dinner.  They rinsed itin cold water, rubbed it with spices, and put it into a pan.  After they had heated up theoven, they put the chicken and the pan on the center oven rack and set the timer.  Then,as they peeled potatoes and carrots to go with the chicken, Amy, Joe and Cindy talkedabout dinner.Amy said, ""Joe, this is too much food for you, me and little Cindy to eat in one night.We'll have leftovers.  What can we do with the leftover chicken?""Joe said, ""We could make chicken sandwiches or chicken and rice.""Amy said, ""How about chicken soup?""Cindy said, ""I like chicken with Thai noodles with red peppers.  We haven't made those ina long time."" ""That sounds good,"" said Amy.  ""We'll make that for dinner tomorrow.""""Yum!"" said Joe.  ""That's a great idea.  I love Thai noodles.""Later, Joe, Amy and Cindy had finished eating dinner, and Cindy asked Amy for help withher homework.  ""I don't understand how to do these math problems!""Joe said, ""You two go ahead.  I'll do the dishes and put away the leftovers.""Soon, Cindy went into the kitchen to get a glass of water.  Joe was eating the chicken.It was almost gone!""Dad!"" said Cindy, ""You have eaten almost all of the leftover chicken. We can't have Thainoodles with chicken tomorrow.""Joe looked very sad.  He said ""I'm sorry.  I have been a bad dad.  I have to buy morechicken so that we can still have noodles.  Would you like a piece of chicken?""",one,What kind of homework does Amy need help with?,English,Math,Art,Social studies,Math
mc160.train.62,1028551157,2304,"On Saturday, Amy and Joe baked a whole chicken for their family's dinner.  They rinsed itin cold water, rubbed it with spices, and put it into a pan.  After they had heated up theoven, they put the chicken and the pan on the center oven rack and set the timer.  Then,as they peeled potatoes and carrots to go with the chicken, Amy, Joe and Cindy talkedabout dinner.Amy said, ""Joe, this is too much food for you, me and little Cindy to eat in one night.We'll have leftovers.  What can we do with the leftover chicken?""Joe said, ""We could make chicken sandwiches or chicken and rice.""Amy said, ""How about chicken soup?""Cindy said, ""I like chicken with Thai noodles with red peppers.  We haven't made those ina long time."" ""That sounds good,"" said Amy.  ""We'll make that for dinner tomorrow.""""Yum!"" said Joe.  ""That's a great idea.  I love Thai noodles.""Later, Joe, Amy and Cindy had finished eating dinner, and Cindy asked Amy for help withher homework.  ""I don't understand how to do these math problems!""Joe said, ""You two go ahead.  I'll do the dishes and put away the leftovers.""Soon, Cindy went into the kitchen to get a glass of water.  Joe was eating the chicken.It was almost gone!""Dad!"" said Cindy, ""You have eaten almost all of the leftover chicken. We can't have Thainoodles with chicken tomorrow.""Joe looked very sad.  He said ""I'm sorry.  I have been a bad dad.  I have to buy morechicken so that we can still have noodles.  Would you like a piece of chicken?""",multiple,Why did Joe feel sad?,Because Cindy wanted Amy to help her with her homework,Because the chicken was no good,Because he ate an ingredient needed for tomorrow's dinner,Because Cindy went to get a glass of water,Because he ate an ingredient needed for tomorrow's dinner
mc160.train.62,1028551157,2304,"On Saturday, Amy and Joe baked a whole chicken for their family's dinner.  They rinsed itin cold water, rubbed it with spices, and put it into a pan.  After they had heated up theoven, they put the chicken and the pan on the center oven rack and set the timer.  Then,as they peeled potatoes and carrots to go with the chicken, Amy, Joe and Cindy talkedabout dinner.Amy said, ""Joe, this is too much food for you, me and little Cindy to eat in one night.We'll have leftovers.  What can we do with the leftover chicken?""Joe said, ""We could make chicken sandwiches or chicken and rice.""Amy said, ""How about chicken soup?""Cindy said, ""I like chicken with Thai noodles with red peppers.  We haven't made those ina long time."" ""That sounds good,"" said Amy.  ""We'll make that for dinner tomorrow.""""Yum!"" said Joe.  ""That's a great idea.  I love Thai noodles.""Later, Joe, Amy and Cindy had finished eating dinner, and Cindy asked Amy for help withher homework.  ""I don't understand how to do these math problems!""Joe said, ""You two go ahead.  I'll do the dishes and put away the leftovers.""Soon, Cindy went into the kitchen to get a glass of water.  Joe was eating the chicken.It was almost gone!""Dad!"" said Cindy, ""You have eaten almost all of the leftover chicken. We can't have Thainoodles with chicken tomorrow.""Joe looked very sad.  He said ""I'm sorry.  I have been a bad dad.  I have to buy morechicken so that we can still have noodles.  Would you like a piece of chicken?""",one,"What did Amy, Joe and Cindy have for dinner?",only chicken,Chicken soup,"chicken, carrots and potatoes",Thai noodles with chicken,"chicken, carrots and potatoes"
mc160.train.63,2090612452,1439,"A dancer named Eliza was part of the New York Ballet Performance and Arts Company. Shespent all hours of the day practicing for her recital. Eliza had difficulties doing bothher schoolwork and her dancing; she often fell behind in math. Her best friend Maddy wasalso a dancer; they often competed with each other to get the top parts in the dances.Their moms thought that because they competed with each other they might become meantowards one another but they did not let that get in the way of their friendship.In their latest recital Eliza had got the top part in the dance called ""The Beauty and theRain"". The hours were long and draining on their bodies. All the girls and boys who leftthe performance center looked so tired. They couldn't pick up their practice bags off ofthe floor as they walked to their parents to go home and their eyelids were droopy. WhenEliza got home, the last thing on her mind was her math problems. All she could think ofwas bathing her sore feet and her head hitting her soft fluffy pillow.  Her teachersstarted to become aware of Eliza's problems in the classroom and called her parents intoschool to talk to her teachers. Her parents knew that dancing was Eliza's dream and wouldnot let anything get in the way of her performances. It was important for her parents forEliza to do well in all parts of her life, but her dancing is what lit a fire in hereyes. Her parents got her extra help to help with her homework, which helped Eliza keeptrack of all parts of her life.",multiple,What was Eliza's favorite sport that she did?,Gymnastics,Basketball,Dance,Soccer,Dance
mc160.train.63,2090612452,1439,"A dancer named Eliza was part of the New York Ballet Performance and Arts Company. Shespent all hours of the day practicing for her recital. Eliza had difficulties doing bothher schoolwork and her dancing; she often fell behind in math. Her best friend Maddy wasalso a dancer; they often competed with each other to get the top parts in the dances.Their moms thought that because they competed with each other they might become meantowards one another but they did not let that get in the way of their friendship.In their latest recital Eliza had got the top part in the dance called ""The Beauty and theRain"". The hours were long and draining on their bodies. All the girls and boys who leftthe performance center looked so tired. They couldn't pick up their practice bags off ofthe floor as they walked to their parents to go home and their eyelids were droopy. WhenEliza got home, the last thing on her mind was her math problems. All she could think ofwas bathing her sore feet and her head hitting her soft fluffy pillow.  Her teachersstarted to become aware of Eliza's problems in the classroom and called her parents intoschool to talk to her teachers. Her parents knew that dancing was Eliza's dream and wouldnot let anything get in the way of her performances. It was important for her parents forEliza to do well in all parts of her life, but her dancing is what lit a fire in hereyes. Her parents got her extra help to help with her homework, which helped Eliza keeptrack of all parts of her life.",multiple,How did her parents help Eliza with her school work she was having problems with?,Focus on dance and not do her schoolwork,Let her friends do her homework,Stayed at school longer hours,Got her extra help outside of the classroom,Got her extra help outside of the classroom
mc160.train.63,2090612452,1439,"A dancer named Eliza was part of the New York Ballet Performance and Arts Company. Shespent all hours of the day practicing for her recital. Eliza had difficulties doing bothher schoolwork and her dancing; she often fell behind in math. Her best friend Maddy wasalso a dancer; they often competed with each other to get the top parts in the dances.Their moms thought that because they competed with each other they might become meantowards one another but they did not let that get in the way of their friendship.In their latest recital Eliza had got the top part in the dance called ""The Beauty and theRain"". The hours were long and draining on their bodies. All the girls and boys who leftthe performance center looked so tired. They couldn't pick up their practice bags off ofthe floor as they walked to their parents to go home and their eyelids were droopy. WhenEliza got home, the last thing on her mind was her math problems. All she could think ofwas bathing her sore feet and her head hitting her soft fluffy pillow.  Her teachersstarted to become aware of Eliza's problems in the classroom and called her parents intoschool to talk to her teachers. Her parents knew that dancing was Eliza's dream and wouldnot let anything get in the way of her performances. It was important for her parents forEliza to do well in all parts of her life, but her dancing is what lit a fire in hereyes. Her parents got her extra help to help with her homework, which helped Eliza keeptrack of all parts of her life.",one,What part of school was Eliza having problems with?,English,History,Science,Math,Math
mc160.train.63,2090612452,1439,"A dancer named Eliza was part of the New York Ballet Performance and Arts Company. Shespent all hours of the day practicing for her recital. Eliza had difficulties doing bothher schoolwork and her dancing; she often fell behind in math. Her best friend Maddy wasalso a dancer; they often competed with each other to get the top parts in the dances.Their moms thought that because they competed with each other they might become meantowards one another but they did not let that get in the way of their friendship.In their latest recital Eliza had got the top part in the dance called ""The Beauty and theRain"". The hours were long and draining on their bodies. All the girls and boys who leftthe performance center looked so tired. They couldn't pick up their practice bags off ofthe floor as they walked to their parents to go home and their eyelids were droopy. WhenEliza got home, the last thing on her mind was her math problems. All she could think ofwas bathing her sore feet and her head hitting her soft fluffy pillow.  Her teachersstarted to become aware of Eliza's problems in the classroom and called her parents intoschool to talk to her teachers. Her parents knew that dancing was Eliza's dream and wouldnot let anything get in the way of her performances. It was important for her parents forEliza to do well in all parts of her life, but her dancing is what lit a fire in hereyes. Her parents got her extra help to help with her homework, which helped Eliza keeptrack of all parts of her life.",one,What was the recital that Eliza and Maddy were practicing for?,"""Beauty and the Beast""","""The Beauty and the Rain""","""Beauty is inside our Hearts""","""We are all Beautiful""","""The Beauty and the Rain"""
