Number,Conversation,Question,Choice1,Choice2,Choice3,Answer
1-88,"Daughter: Dad, can I go to a movie this week with Shannon? Father: Here. Try this. It's called a book. [Ah, Dad!] Moby Dick. An American classic. [Dad!] Okay. Let me look at the schedule here. Hmm. When are you thinking about going to the movie? Daughter: Uh, we're thinking about seeing a movie on Wednesday after school. Father: Well, that's not going to work. You have piano lessons after school and then you have to babysit for the neighbors until 9:00. Daughter: What about Monday? Father: Monday's out. You haven't practiced your clarinet at all ... for an entire month, so you have to catch up on that. And, don't you have an essay due in your English class on Tuesday? Daughter: Oh, I forgot about that [Yeah], and anyway, I was going to finish that during first period at school. [Great. I've never heard of a three-sentence essay.] So, what about Tuesday? Father: Uh, you have soccer practice from 4:00 until 5:30, and after that, you have to do your homework. Daughter: Ah, you can help me with that. Oh, I forgot you don't know how to do geometry. So, can I see the movie on Thursday? Father: Well, remember the science fair at school is on Friday, right? Is, is your project finished yet? Daughter: Umm, what about Friday night? I checked the paper, and there's a midnight showing. Father: Uh-uh. Forget that idea. Daughter: And Saturday? Father: Well, you have to do your chores in the morning before noon. [You can help me with that.] Oh no. And then, we have to clean out the garage. You said you'd help. [No, you volunteered me.] Well, that should only take a couple of hours. [Dad, you're ruining my social life.] And then, after that, we can go to the movie. Daughter: We? Father: Yeah, We. Mom and I and you and Shannon. Daughter: Uh, Dad, actually. We weren't planning on company. Father: Now, let me check the paper for showtimes. [The movie plays at three oh five, five, seven fifteen, and nine.] You already checked, I see. Daughter: Yeah. So is it okay? Can I go see the nine O'clock showing? Father: The five o'clock showing! Daughter: How about the seven o'clock showing? Father: And why are you so concerned about the show time? Daughter: Well, I don't know if I'll get all of my chores and homework done before then. Father: Sorry, but I want you to get to bed early that night, and so, I can drop you off at the movie theater about 4:30 so you'll have time to get tickets. Daughter: Uh, Dad. Can I have money for the movie? Father: Sure, just go into the family bank vault behind secret mirror in the hall and take a few hundred. [Dad!]. Look. I can only spare a few dollars, so you'll have to come up with the rest, okay? Daughter: Okay. Thanks, Dad.",What one thing does the girl NOT have to do on Wednesday after school?,practice the piano,take care of children,finish homework assignments,finish homework assignments
5-109,"M: Hey, Karen, you are not really reading it, are you? W: Pardon? M: The book! You haven't turned the page in the last ten minutes. W: No, Jim, I suppose I haven't. I need to get through it, though, but I keep drifting away. M: So it doesn't really hold your interest? W: No, not really. I wouldn't bother with it, to be honest, but I have to read it for a seminar. I'm at a university. M: It's a labor of labor then rather than a labor of love. W: I should say, I don't like Dickens at all really, the author, indeed, I am starting to like the whole course less and less. M: It's not just the book, it's the curse as well? W: Yeah, in a way, although the curse itself isn't really that bad, a lot of it is pretty good, in fact, and the lecturer is fine, as to me, I suppose, you see, I want to do philosophy rather than English, but my parents took me out of it. M: So the courses are OK as such, it's just that had if been left to you, you would choose a different one. W: Oh, they had my best interest and heart of course, my parents, they always do, don't they? They believe that my job prospect would be pretty limited with the degree of philosophy. Plus, they give me a really generous allowance, but I am beginning to feel that I'm wasting my time and their money. They would be so disappointed though if I told them I was quitting.",Why can't Karen concentrate on the book?,She lacks interest in it.,The man keeps interrupting her.,She finds it too hard.,She lacks interest in it.
4-867,"M: Hi, Jane. It's nice to see you again. I heard that you went to the US during the vacation. W: Yes. I went to New York to attend a summer course in English. M: Wow. You were lucky. How long did you stay there? W: About 50 days. I went there on July 5th and came back on August 25th. M: How about the course? W: The course was very good. The teachers were nice. They taught us to listen, speak, read and write in English, but it was mostly speaking. One interesting thing I found was that the American classes are different from our classes here because the students have a lot more freedom. You can sit anywhere you like in the classroom. You can ask the teachers questions at any time during the class, and you are welcome to share your ideas with the class. I really like this kind of class. M: How interesting! Maybe our teacher should try that.",Why did the woman go to New York during the vacation?,To learn English.,To do business.,To visit her teachers.,To learn English.
7-260,"M: Wow... I like the color you painted the walls. What made youdecideon pink? W: I was inspiredby a movie I saw last month. M: It's beautiful, but I dothink you should get a new carpet. This one doesn't match anything in the room now.",Where does the conversation probably take place?,In a Cinema.,In the woman's house.,In a shop.,In the woman's house.
7-94,"M: Hello, Michelle. How are you feeling today? W: Hi, Dr. Frank. I am not feeling very well. That is why I made an appointment with you. M: I am sorry to hear that. What seems to be the trouble? W: My head has been hurting a lot lately. I never used to feel like this. M: When does it hurt the most? W: Usually, I feel fine. It only hurts when I am in class. My head starts hurting when I try to copy notes from the board. I tried sitting near the back of the room, but it doesn't help. In fact, it gets worse! M: Well, it sounds like you might need glasses. You should get your eyes checked. It should not take too long. W: Thank you, doctor. I appreciate your help.",When does the woman's head hurt the most?,When she is in class.,After she does sports.,Before she goes to bed.,When she is in class.
21-2,"W: Do you know when Jim comes back home? M: He was supposed to arrive this weekend, but actually he's coming the day after tomorrow.",What time will Jim come back?,This weekend.,In two days' time.,The day before yesterday.,In two days' time.
4-1167,"W: Your sister dances very well. Dose she want to be a dancer? M: No, she wants to be an English teacher. Dancing is her hobby.",What does the man's sister want to be?,A dancer.,A dance teacher.,An English teacher.,An English teacher.
5-937,"W: Can I help you? M: Yes, I'd like to read some articles that are on reserve about British culture. W: Professor Grand's class? M: That's right. How could you know? W: Let's just say you are not the first person coming in asking for those articles. M: Oh, well, seeing as how I haven't read any of them yet, it doesn't really matterwhich one you give me first. W: I'm afraid I can't give you any of them at the moment. They've all been checked out. M: You're joking, all of them? W: Every month. I've asked professor Grand twice already to bring in additional copies of the articles, but no sooner do I place them on the shelves than they are gone. See that girl in the black sweater? She's been waiting for half an hour for those same articles to be returned. M: And here's me. I went out of my way to free out the whole afternoon to read. W: I'm sorry, but there is not a whole lot I can do about it. All I can suggest is that you come in first thing tomorrow morning and try again. We open at eight.",What is the man surprised to learn?,That the library opens at 8:00.,That no one else has read the articles.,That none of the material he needs is available.,That none of the material he needs is available.
3-89,"W: Excuse me, but could you tell me when the plane for Berlin leaves? M: In 40 minutes, at eleven o'clock. The plane for Berlin leaves every two hours. W: How much is a second class ticket, please? M: We have only first class tickets left. It is $ 350 one way. W: OK. I'd like one for the next flight. M: I'm sorry, but I don't sell tickets. You can get one from the machine over there. W: All right. By the way, what's the gate number? M: Four. Down the hall and to the left. W: Thanks a lot.",When will the next plane leave?,In fourteen minutes.,In more than two hours.,At four o'clock.,In more than two hours.
17-254,"W: Hello. Can I help you? M: Yes, er... I am going to see the West End. W: How much time do you have? M: Just one day. W: Well, what do you particularly want to do? M: I want to visit museums, art galleries, Buckingham Palace, do some shopping, go to the theater... W: But you only have one day! M: That's right. W: Well, you can go shopping in the morning. M: Where? W: In Oxford Street. M: How do I get there? W: You can walk through Hyde Park. It's quite near. M: Good. What time do the shops open? W: At nine. M: Are there any restaurants in Oxford Street? W: Yes, there are lots. You can have lunch there. M: Are there any museums near Oxford Street? W: Yes, the British Museum. You can go there in the afternoon. M: Good, What time does it close? W: At five. M: I want to go to the theater in the evening. W: Well, there are many theaters near there. M: Where? W: In Shaftsbury Avenue. You can take a bus from the British Museum. M: Perfect. Thanks for your help. W: You're welcome. Have a good time!",What city is being talked about in the dialogue?,Oxford.,London.,Shaftsbury.,London.
14-142,"M: What are you doing, Mary? W: I am cooking the dinner, John. M: Oh. Look! The Capital Building caught on a big fire today. W: What? How about the people in the building? M: More than 220 people were killed and the building was destroyed. W: It must have taken the fire fighters a long time to put it out. M: Yes, they spent about five hours putting it out. Hm, what a strange smell! W: Oh, I forgot the food cooking on the fire! M: Be quick! Turn the gas off. You should be careful next rime, otherwise you'd have our house on fire!",What are John and Mary talking about?,Cooking.,The Capital Building.,The fire of the Capital Building.,The fire of the Capital Building.
4-1434,"Woman: Oh, it's broken! Jacky is not going to be happy when he sees this. It's his favorite CD! He'll tell mum. Man: Please Kathy, can I borrow ten dollars? I'll buy him a new one and I will clean up your room.",Whose CD is broken?,Kathy's.,Mum's.,Jack's.,Jack's.
19-0,"M: Mary, have you ever wondered why some cultures have more proverbs than others? For example, the Mayans, the Incas, and the North American Indian tribes seem to have fewer proverbs than cultures like, the Arabians, and the Chinese. I wonder why this is. W: What would you say about our ... our own culture? Would you say we're a culture that's rich in proverbs or one that lacks proverbs? M: I think we, we have a rich heritage of proverbs - the Benjamin Franklin maxims, proverbs, wise sayings have been handed down to us. W: Well, I think the fact that we're no longer creating proverbs today maybe says something ... maybe perhaps explains to some extent why proverbs in certain cultures were not as extended or extensive as in other cultures. M: Mm, hmm. That's true. I wonder why we are not creating as many proverbs as we did in 1700s and 1800s. I agree with you. I don't think there are nearly as many. I can't think of any. I'm sure there are some, but I wonder why this is so. W: Yeah, well, I think we all know a great many proverbs. If we sit down, we can think of some that we can ... we can list. But we don't seem to use them to explain things. We find many times that they're used too much and too simple - too general. Today we're much more sophisticated, you might say, and analytical, and therefore we don't use proverbs to explain things the way, say, our grandfathers and parents did. M: Life is too complicated now to just quote a simple proverb to take care of things. W: Right, and maybe to some extent that's why the North American Indians and the Mayans among others don't have as many proverbs. At least there's no record of as many proverbs. Since their own culture ... their traditions were highly eroded and they were wiped out during this era of change. M: Well, that's interesting.",What are the two speakers discussing?,How proverbs are created.,Why people don't use proverbs now.,Why there are more proverbs in some cultures.,Why there are more proverbs in some cultures.
4-725,"M: I thought that the chair cost 50 dollars. W: It used to, but the price has gone up 15 dollars. M: Well, that's more than I can afford, I'm afraid.",What's the price of the chair?,$15.,$50.,$65.,$65.
17-301,"W: Next! Good morning, can I help you? M: This place is a madhouse! Everybody is pushing and shoving! W: Yes, I know. We are short-handed and we are very crowded today Now what can I do for you? M: I want a ticket to New York. W: Okay. One way or round trip? M: One way, of course. I don't want to hang around here any longer. I was here in Los Angeles last year and I hated it. I come here on business every year and I hate it. It's too spread out, too smoggy! W: That'll be $ 375. How would you like to pay? M: Cash, of course. I don't believe in plastic money or credit cards, or any of that. Listen, can you hurry it up? You're taking forever! W: I'm doing my best, sir. Aisle or window seat? M: Window seat. W: Smoking or nonsmoking? M: Nonsmoking, of course! Oh, by the way, I'm supposed to get a special meal. Doctor's order - I can't eat meat. Last time I had a special salad plate. I'd like one of those this time, too. W: I'm sorry. I'm not able to do that. We need twenty-four hours notice for special meal. M: What! You can't give me my special salad? W: I'm sony. I would like to, but I simply cannot. M: Well, I don't give up so easily. Where's your supervisor?",What's the airport like?,A hotel.,A market.,A madhouse.,A madhouse.
12-543,F: Mary's hair is longer than Betty's. M: But Rose's hair is shorter than Betty's.,Whose hair is the longest?,Betty's,Mary's,Rose's,Mary's
20-62,"W: We all know that poetry is not everyone's cup of tea. But according to Dr James Stewart. M: Hello! W: Hello! If you are suffering from anxiety or depression, poetry may be the solution to your problems. Dr Stewart, how does poetry help? M: Em, OK! Look, let me give you an example. A patient came into our clinic last month. He was a middle-aged businessmen, and he was feeling, well, like most middle-aged businessmen, really stressed and with his life out of control. He talked to me about it, and, well, I was convinced that medication just wouldn't help him. Then I read him a poem called Leisure by WHDavis. Do you know the one? It begins, er... W: I do, yes. M: What is this life, er, so full of. It is so or if... W: I think it's if. M: If full of care, that's it, yes. We have no time to stand and stare. Well, you know the one. The next time he came to see me, he told me that, well, it was a sort of turning point for him. The poem made him think about the quality of his life and the need to find a balance between his work and his social life. Er, you see, because the idea was expressed poetically, he felt that he could identify with it, and actually feel the message in a way that he wouldn't if he simply discussed it with me. And we just had the usual kind of conversation about it. W: Yes, I see. M: You see, reading poetry to patients seems to make them calmer. Encouraging them to write it has an even more dramatic effect, actually. Era, there.., there are something about the process of expressing confused thoughts and feelings and emotions in writing that actually helps people or suffering from stress and anxiety. This happens especially if the words are written in a poetical way with a sense of rhythm rather than in prose, you see. Er, now, for a long time, we've been asking patients to write diaries to put their feelings into words. But it turns out that writing poetry seems to work much better for many patients. W: Right, and have you found that other doctors and therapists have made the same discoveries? M: Yes, many of my colleagues have successfully used poetry with patients suffering from anxiety or depression or even eating disorders. I mean their patients said that, that reading poetry made them feel less stressed. You know, almost as many said that writing it has the same effect. You see, some said that writing poetry reduced the pain they felt when a friend or a close relation had died extraordinarily! W: Yes, it certainly is! M: Era. Others thought that it enabled them to reduce or stop taking antidepressants or tranquillizers. And writing poetry helps them to provide a sort of outlet for their emotions. W: Em, that's fascinating! Can you give any explanation as to why poetry might be calming in this way? M: Well, it's only a guess. But I say that the calming effect of poetry is related to an interplay between the left and right hemispheres of the brain, the.., you probably know the left half is the one which analyzes and responds to language while the right one visualizes images and responds to rhythm. Now, I believe that poetry may activate the system at the base of the brain where thoughts meet emotions, you see. W: Do you think that people need a doctor to prescribe particular poems for particular conditions? M: No, no, no. I think poetry can help everyone to feel calm and less stressed. People who read poetry tend not to be anxious and stressed, probably because they are in touch with their emotions. I mean they certainly don't need a doctor to tell them which poems to read. W: Thank you very much, Dr Stewart. M: You are welcome.",Who did Dr Stewart read a poem to?,An actor.,A business person.,Mr Davies.,A business person.
4-556,"W: Clinic, can I help you? M: This is Frank Smith. Can I make an appointment with Dr Milton? W: Yes, of course, Mr. Smith. Can you manage this afternoon? M: I am afraid not. I can manage tomorrow. W: I am afraid Dr Milton's not on duty tomorrow. He'll be here the day after tomorrow. That's Thursday, March 27th. M: Fine. W: Will 5:30 pm be all right? M: Yes. But what time is the clinic closed? W: We start at 5:00 am and close at 7:00 pm on weekdays. We don't work on the weekends. M: I'd prefer a later time. W: Then what about 6:15 pm? M: Well, that's fine.",Who is Frank Smith?,A friend of the woman.,A visitor to the clinic.,A patient of Dr Milton.,A patient of Dr Milton.
14-299,"M: I thought that computer cost 4,000 dollars. W: It used to, but the shop owner has improved the price by 500 dollars.",How much does the computer cost now?,"4,500 dollars,","4,000 dollars.","5,000 dollars.","4,500 dollars,"
15-92,"W: When are you going to take your vacation? M: I've got a sixteen day vacation starting from July 1. W: Where are you going? M: Florida and Hong Kong. W: That's interesting. Is your family going as well? M: Yeah. We'll stay in Florida for ten days and spend the rest of the time in Hong Kong. Then plan to climb some mountains,go swimming and do some shopping. W: Have a good trip.",What are they talking about?,Shopping.,Taking a vacation.,Visiting a friend.,Taking a vacation.
4-311,"M: What do you usually do in your spare time? W: I have joined a singing group and we practice two afternoons each week. M: That's a very interesting thing to do. W: Yes. It's a small group of only fifteen girls and boys. But nobody has been late for the practice. M: I see. How many songs can you sing now? W: We started only three months ago, but we've practiced eight songs. M: Are you going to perform any time? W: Yes, there will be a school show next month and we are going to sing a song in it. We are practicing a new song now. It's written by one of the singers in our group. M: Really? What's the name of the song? W: Sunny Days. M: That's a nice name. I hope to listen to it soon. Can I visit you when you practice?",What can we know about the singing group?,It's made up of 15 girls.,It practices once every other week.,Every member comes on time for each practice.,Every member comes on time for each practice.
13-34,"F: Hi, Henry. What's wrong with your leg? M: I had it broken last week.",What did Henry break?,His arm.,His leg.,His feet.,His leg.
12-211,"F: George, have you brought my book? M: Yes, here you are. Thank you.",What did Goege do to the lady?,Borrowed her book.,Bought her a book.,Lent her a book.,Borrowed her book.
3-193,"W: I'm not looking forward to the English lesson tomorrow. M: Why not? W: Because the teacher has said that we're going to have a quiz. M: But you had a test week, didn't you? W: Yes, we did. That's why I don't want another one tomorrow,",What does the girl not want to do?,Have an English lesson.,Have a history lesson.,Have a Chinese lesson.,Have an English lesson.
4-115,"M: (Sniffing) Phew! Is that French coffee? W: Pardon? M: Is that French coffee you are drinking? W: Yes,that's right. Why? What's the matter? M: I don't understand why you drink French coffee. It makes a strong smell. W: I like it very much, I prefer it to English coffee. M: Have you got a lot of it? W: Yes. Why? M: Well.., er...could I get some from you? W: Get some from me? But...you don't like French coffee! M: No, I don't, but my wife does and I can't understand why.",What does the woman prefer?,American coffee.,French coffee.,English coffee.,French coffee.
3-25,"M: Do you think of yourself as a great smoker? W: Well, I couldn't call three packets a week a heavy smoker.",What does the man think of himself?,One who smokes heavily.,One who doesn't smoke too much.,One who doesn't like smoking.,One who doesn't smoke too much.
4-129,"W: Mike, there's not much left in the refrigerator. M: Well, I might be able to pick up a few things after work, but I have to be back rather late today. W: In that case, we'll eat out at McDonald's. M: OK. See you there at 8:00.",What does the woman suggest?,Cooking at home.,Eating out at McDonald's.,Taking McDonald's home.,Eating out at McDonald's.
4-6,"M: May I help you, madam? W: Well, I hope so. You see, I can't find my handbag with my mobile phone and some books in it. I've tried everywhere. M: Were they the only things in the bag? W: Well, no. My front door key as well. M: I'm afraid, madam, we're not having much luck. When did you last have your bag with you? W: I haven't seen it ever since I went shopping this morning. I went by car and stopped outside the tailor's. I had my mobile phone with me then. I think I put it in my bag but I'm not so sure. M: Did you ask the tailor? W: Yes, and I've also been back to the shopping center. M: So you didn't buy anything at the shopping center? W: No. Well, I've checked there...oh, dear. I've been awfully silly. I think I've left the bag there.",How did the woman go shopping that morning?,On foot.,By taxi.,By car.,By car.
18-20,"M: Welcome. Last month big leap in new job, some 300, 000 plus, is a huge increase over what the country has seen in the past 6 months when the average growth has been just 75, 000 new jobs a month. For a closer look at what's happening, we turn to Lisa Lynch, an economics professor at Tofts University. Lisa Lynch, when you look at these numbers, do you think job creation is on the rise? W: It certainly is. It was a great report. It indicates that the job market, broadly speaking, has turned the corner after 3 very long, lean years. I think we are going to see improvement. It's not only the March gain. It was gain in January and February. They were both revised higher, and moreover, the job gains were very broadly-based across many industries. It was a very positive report. M: What do you see in the numbers? Who's getting the new jobs? W: As I mentioned, when we looked at the numbers, ""we are seeing employment across the board in all sectors, with one important exception, and that's in manufacturing. Well, we do not have any job loss in manufacturing sector for the first time in 44 months. We did not see pick up in the manufacturing sector, but we saw restaurant and hotel workers being added on. We saw workers in supermarket being added on. Part of that reflects the settlement of the grocery stores strike out California. We saw workers in the health care sector and hospitals being added on. We saw business services adding employees. So in general, with the very important exception of manufacturing, we are seeing job growth across all of these different types of occupations.",What happened to the U. S. job market?,There was a huge increase in new jobs lately.,"About 75, 000 new jobs were created last month.","Some 300, 000 new workers were employed last year.",There was a huge increase in new jobs lately.
16-18,"M: Excuse me, Madam. W: Yes? M: Docs this bus go to Renmin Road? W: Yes, I think so. M: Thank you. W: With pleasure.",What is the relationship between the speakers?,They are friends,They are strangers,They are brother and sister.,They are strangers
4-1106,"W: Can you show me how to save a file on this computer? M: Sure. Just click the tab that says ""file"" and hit ""save"". Your file should then be on the desktop.",What does the woman need help with?,Locating a file on the desktop.,Saving a file on the computer.,"Finding the tab that says ""file"".",Saving a file on the computer.
4-1104,"W: It will take 10 hours to drive straight to Portland, or we could fly there in two hours. M: We could drive 5 hours and stop in Shasta, and then drive 5 more hours to Portland.",How long will it take to fly to Portland?,2 hours.,5 hours.,10 hours.,2 hours.
5-462,"W: How come Jime lost his job? M: I didn't say he had lost it. All I said was if he didn't get out and start selling a few cars instead of idling around all day, he might find himself looking for a new job.",What does the man say about Jim?,He has managed to sell a number of cars.,He is contented with his current position.,He might get fired.,He might get fired.
17-208,"M: I enjoy camping out in the summer. A great change from city life, I think. W: Yes, you said it. I went with my friends last sunday.",What are they talking about?,Weekend plan.,Changes in the city.,Going camping in the summer.,Going camping in the summer.
11-164,"W: What's the matter with you, sir? M: I bought the radio yesterday, but it doesn't work well. I want to change it.",When did the man buy the radio?,"Yesterday,",Today.,Tomorrow.,"Yesterday,"
21-157,M: Do you think Laura will accept the proposal? W: No way.,What does the woman mean?,Laura doesn't understand the proposal.,Laura will not like the proposal.,Laura will accept the proposal.,Laura will not like the proposal.
4-782,M: I wasn't able to fall asleep last night. W: Why didn't you take a sleeping pill? M: I don't like them.,What can we learn from the conversation?,The man will take a sleeping pill.,The man didn't sleep well last night.,The woman will go to buy some sleeping pills.,The man didn't sleep well last night.
7-81,M: Take it easy. It's only 7:30 now. There are still 15 minutes to go before the movie starts. W: Don't you remember our clock is 10 minutes slow?,What's the time now?,7:40.,7:15.,7:20.,7:40.
4-811,"M: Hello, can I help you? W: Yes, I'd like to go on a sailing holiday this summer in Italy. M: Have you been sailing before? W: No. I wanted to go to Sweden last year, but I didn't have enough money. M: Well, it is quite expensive. Sailing holidays start at about three hundred pounds. W: Yes, my friends went in August last year. They paid four hundred and fifty pounds each. The most I can pay is three hundred and eighty pounds. M: Well, that should be enough. Would you like to be by the sea or a lake? W: Well, I'd prefer a lake in the mountains. M: Okay. The Aqua Center in north Italy will be best for you. That costs £370. W: Okay. Can I pay by credit card? I haven't got my checkbook. M: Yes, that's fine.",How many times has the woman been sailing before?,Never.,Once.,Twice.,Never.
7-221,"M: Excuse me. If I want to read the newspapers, can I take them out? W: No, you may read them in the reading room over there.",Where does the conversation take place?,In a library.,In a restaurant.,In a classroom.,In a library.
2-26,"W: Would you mind if I borrowed your car just over the weekend? M: I'm sorry, but it's just not possible, because I'm visiting my mother this weekend.",Why does the man refuse the woman?,He doesn't have a car.,He'll be using his car.,She doesn't drive.,He'll be using his car.
12-218,F: Can you come and see me at nine o'clock? M: I'm afraid not. I'll be meeting Mr. Green at that time.,Who will the man meet at nine o'clock?,Mr. Green.,Mrs. Green.,His sister.,Mr. Green.
13-166,"M: Is it raining outside? W: Yes, it is raining hard.",What's the weather like today?,It's fine.,It's raining.,It's sunny.,It's raining.
21-113,W: I'm losing my sleep. I feel tired and sleepy all the time. I've got to do something about it. M: I'm so sorry for you. But what are you going to do? W: I want to move out of the dorm and rent a small flat. M: That's a good idea. It will be much more convenient for you. W: But I need your help. M: How? To find one person for you? W: Yes M: I'll sleep on it tonight and tell you my decision tomorrow. OK?,What's wrong with the woman?,She has caught a cold.,She has a headache.,She feels tired and sleepy all the time.,She feels tired and sleepy all the time.
14-220,"M: Excuse me. How can I get to the Prince Street? W: Take Bus No. 13 and get off at Prince Street stop. M: Can you tell me where I can buy such kind of shirt? W: Oh, that's easy. There's a man's shop just around the corner. M: Thank you.",Which bus should the man take to get to Prince Street?,Bus No. 12.,Bus No. 30.,Bus No. 13.,Bus No. 13.
21-28,"W: I'd like to change this green T-shirt that I bought last week to the red one. M: Let me see. The red one is $10.65, and the green one was $14.65.",How much money should the clerk return to the woman?,$25.,$24.,$4.,$4.
17-232,W: We are going to change our meeting from Monday to Tuesday. M: It's all the same to me.,What can we infer from the conversation?,The man won't have the meeting.,The man will go to the meeting whether the time is changed or not.,The man will go for a meeting any day.,The man will go to the meeting whether the time is changed or not.
3-27,"W: Say, Fred, I read a bad review of the movie we were going to see tonight. Would you like to do something else? Maybe we could go to the jazz concert at the school auditorium instead. It starts at eight. M: I don't know whether I would like that kind of music or not, Mary. W: Well, in that case, let's go to the new production of Hamlet. It's supposed to be a good one, but tickets are hard to get. M: I think I'd like that. I'll meet you there at seven thirty. W: I think we should get there earlier to be sure we get tickets. Could you make it at seven? M: Sure. I'll see you then.",What had Fred and Mary first decided to do?,Go to a movie.,Go to a concert.,Go to a play.,Go to a movie.
11-199,"F: What can I get you to drink? Tea or coffee? M: Well, It's pretty hot day. I think I could do with a beer.",What does the man want?,Tea,Coffee,Neither tea nor coffee,Neither tea nor coffee
7-31,"M: Hi, Jenny. We will have our midterm exams next month. I plan to look for some important books and study at the library. Do you want to join me? W: Sure. I need to return some books. They are due today. Besides, I can also read some weekly publications, magazines and newspapers. M: Great. We can go to the swimming pool in the gymnasium after that. W: Sounds a good idea. Summer is approaching. Today's temperature has reached 35 degree Centigrade. Are you good at swimming? M: Well, that's a good question. I haven't swum for almost two years. I think I need more practice. W: Oh, it's almost 9. I need to hurry. I am running late now. See you after class at the gate of the library then. Bye! M: See you then.",What does the man plan to do in the library?,Return some books.,Prepare for the coming exam.,Read some magazines and newspapers.,Prepare for the coming exam.
13-100,"W: Why don't you wear the blue coat your sister gave you for your birthday? M: I love that coat, but it lost two buttons.",What does the man say about his coat?,He can't wear it.,He lost it.,He can't find it.,He can't wear it.
4-219,"M: Hello, Ms Thomas. What can I do for you? W: Well, I've been having bad stomach pains lately, doctor. M: Oh, I'm sorry to hear that. How long have you been having them? W: Just in the last few weeks. I get a very sharp pain about an hour after having meals. M: I see. Do you get this after every meal? W: Let me think. No, it's usually in the afternoon, after lunch. M: Well, what do you have for lunch? W: Oh, I mostly just have a quick hamburger and rush back to the office. We're very busy at the moment. M: Well, I don't think it's a serious thing. Maybe you eat too quickly. It's bad for your health. W: My husband is always telling me that. M: Anyway, I'll give you something for it and see what happens. Take the medicine three times a day. W: After meals or before? M: After eating. W: Thank you, doctor. M: You're welcome.",Where does this conversation take place?,In a restaurant.,In a hospital.,At the office.,In a hospital.
5-618,"W: Has Andrew come back from his trip to Paris? M: Yes, and he liked it so much that after only two weeks at home, he went back to study French for a year.",What does this conversation tell us about Andrew?,He will return from Parisin two weeks.,He is studying French in Paris.,He is having a vacation in Paris.,He is studying French in Paris.
4-1267,"W: How's school going, Tom? M: Just fine. I was finally admitted to graduate school. W: Great! Are you going to do a doctor's degree? M: Yes. I'm going to do a doctorate in chemistry. W: That sounds like a difficult field. M: It is interesting to me. W: You've got a degree in nuclear physics, haven't you? M: Just a master's degree, actually. I think chemistry is a lot better field for me. I've always preferred chemistry to physics. W: What do you plan to do after you finish? M: I haven't decided yet. I am thinking of going into medical research. W: Well, you've got some years of hard study ahead of you. M: That's right. What about you, Linda? I heard you will soon finish your Bachelor's degree in literature. W: That's right. I've always dreamed of being an excellent writer.",In which field does the man have a master's degree?,Chemistry.,Nuclear physics.,Literature.,Nuclear physics.
11-117,W: Happy New Year. M: The same to you.,What festival is it today?,New Year's Day.,Christmas.,Mid-autumn Day.,New Year's Day.
14-115,"W: Hello, Mr Anderson. M: Don't call me Mr Anderson. Everybody calls me Robert. First names are more friendly than surnames, aren't they?",What do we learn about the man?,He is friendly.,He is angry with the woman.,His name is Robert Anderson.,His name is Robert Anderson.
5-663,"W: Excuse me, sir. I'm going to send this parcel to London. What's the postage for it? M: Let me see. It's one pound and fifty.",Who is the woman most probably speaking to?,A postal clerk.,A taxi driver.,A bus conductor.,A postal clerk.
4-1417,"W: Hello, Thomas Brothers. M: Hello, this is Mike Landon here. Is Jack Cooper there by any chance? W: I am afraid not, he is away for a day or two, back on, let's see, Monday morning. M: Oh, well perhaps I can live a message for him. W: Yes, of course, just a minute. Now, let's see, to Jack Cooper from Mike London. M: No, Landon, L-a-n-d-o-n. W: Sorry, yes, got that, and what's the message? M: Well it's just this: could he come to a meeting on Monday afternoon at 5:00 pm? W: That's this coming Monday, October 12th? M: Right, it's to discuss the new factory in France. W: Fine, I've got that. I will see that he gets it as soon as he comes in on Monday. M: Good, thank you, goodbye.",Who is making the telephone call?,Thomas Brothers.,Mike Landon.,Jack Cooper.,Mike Landon.
4-1442,A: I won't have anything to wear to work on Monday unless I pick up my clothes at the dry cleaner's. B: Then you'd better hurry. It closes at noon on Sundays. A: Oh! I should have gone there on Saturday.,What day is it when the conversation takes place?,Saturday.,Sunday.,Monday.,Sunday.
17-144,"W: Peter, where is the ear? I haven't seen you drive to work for a long time! Is it broken or stolen? M: Hi, Susan] Oh, no! Of course not! I give up driving to work. Instead, I ride to my working place. W: Why is that? M: You see. There is only a stone's throw from my home to my working place. I think riding a bike to work is more convenient. W: I don't think so. It will take you at least 25 minutes to get to our company from here. M: Yes, sometimes, 30 minutes. But I love riding to work now. It is a totally different picture on my way to work. W: Why do you think so? M: You see, every morning, after I set off for work, I can breathe the new fresh air along the way. By the time I reach my office, I feel rather revived. I even don't rely on coffee to spend my morning hours. W: Is it so magical? M: At least, that's how I feel about riding to work. I can't believe I have wasted so much fresh morning air in the past 3 years! W: Will you continue riding to work in the future? M: I think so.",Why doesn't Peter drive a car to work?,His car is broken.,His car is stolen.,His working place is not far from his home.,His working place is not far from his home.
21-82,"M: What happened to you? You are so late. W: My car broke down on the highway, and I have to walk.",Why did the woman have to walk?,Something happened to her car.,She was broken and couldn't afford the bus.,She got up too late to catch the bus.,Something happened to her car.
